GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age
F,N,Y,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,12.80831816,1,0,1,0,Laborers,2,1,59.35342466
F,N,Y,1,67500,Commercial associate,Higher education,Married,House / apartment,7.356918242,1,0,0,1,Waiters/barmen staff,3,1,24.99178082
M,N,N,1,180000,Working,Secondary / secondary special,Single / not married,House / apartment,4.919980926,1,0,0,0,Laborers,2,1,35.47123288
M,N,Y,1,191399.3262,Working,Secondary / secondary special,Single / not married,House / apartment,4.919980926,1,0,0,0,Laborers,2,1,35.47123288
F,Y,Y,0,202500,Working,Higher education,Married,House / apartment,8.287528423,1,0,0,0,High skill tech staff,2,1,41.53424658
F,N,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,7.358830898,1,0,0,0,Laborers,2,1,52.06575342
F,Y,N,1,202500,Working,Higher education,Married,Rented apartment,7.964850887,1,0,0,0,Laborers,3,1,26.05479452
F,Y,Y,1,270000,Working,Higher education,Separated,House / apartment,4.941642423,1,0,1,0,Sales staff,2,1,38.49863014
F,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,7.853993087,1,0,0,0,Laborers,2,1,37.20821918
F,Y,Y,0,360000,State servant,Higher education,Separated,House / apartment,7.552237288,1,0,0,0,Core staff,1,1,52.89041096
F,Y,Y,0,256500,Commercial associate,Higher education,Married,House / apartment,7.452402451,1,1,0,0,Accountants,2,1,30.71232877
F,Y,Y,0,256500,Commercial associate,Higher education,Single / not married,House / apartment,7.452402451,1,1,0,0,Accountants,2,1,30.71232877
M,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,7.19142933,1,0,0,0,Core staff,2,1,42.84931507
F,N,N,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,8.514589806,1,0,0,0,High skill tech staff,4,1,39.66027397
F,N,Y,2,180000,Working,Incomplete higher,Separated,House / apartment,8.159374737,1,1,0,0,Laborers,3,1,33.56986301
F,N,Y,2,180000,Working,Incomplete higher,Separated,House / apartment,8.159374737,1,1,0,0,Laborers,3,1,33.56986301
M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,7.239932591,1,0,0,0,Laborers,2,1,37.5890411
M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,7.239932591,1,0,0,0,Laborers,2,1,37.5890411
M,Y,N,0,202500,Working,Secondary / secondary special,Married,With parents,7.239932591,1,0,0,0,Laborers,2,1,37.5890411
M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,7.142827401,1,0,0,0,Managers,2,1,51.1260274
F,Y,N,0,225000,Working,Higher education,Married,House / apartment,7.836369761,1,1,1,0,Accountants,2,1,55.51780822
M,N,Y,1,126000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,7.652070746,1,0,0,0,Laborers,3,1,34.94520548
F,N,Y,1,675000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,6.756932389,1,0,0,0,Security staff,2,1,42.33424658
M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,5.379897354,1,0,0,0,Laborers,2,1,29.34794521
M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,5.379897354,1,0,0,0,Laborers,2,1,29.34794521
M,Y,Y,2,247500,Working,Secondary / secondary special,Married,House / apartment,6.282266747,1,0,0,0,Laborers,4,1,47.45205479
F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,60.57808219
M,N,N,1,85500,State servant,Secondary / secondary special,Married,Municipal apartment,8.834336974,1,0,0,0,Core staff,3,1,41.13424658
F,N,N,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,6.369900983,1,0,0,0,Core staff,1,1,54.82739726
F,N,N,0,135000,Working,Secondary / secondary special,Widow,Co-op apartment,6.369900983,1,0,0,0,Core staff,1,1,54.82739726
F,N,Y,0,180000,Working,Lower secondary,Widow,House / apartment,7.708410667,1,1,1,0,Cleaning staff,1,1,46.03561644
F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,9.007121989,1,0,0,0,Managers,2,1,51.97534247
M,Y,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,6.418364936,1,0,0,0,Laborers,1,1,44.68493151
M,N,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,12.80831816,1,0,0,0,Laborers,1,1,62.84657534
M,Y,N,0,191399.3262,Commercial associate,Higher education,Single / not married,Municipal apartment,6.406879986,1,0,1,1,High skill tech staff,1,1,31.58356164
F,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,8.845633256,1,0,0,0,Medicine staff,2,1,54.14794521
M,N,N,0,225000,Working,Secondary / secondary special,Widow,Municipal apartment,5.846438775,1,0,0,0,Security staff,1,1,53.16712329
F,N,N,0,67500,Pensioner,Secondary / secondary special,Widow,House / apartment,12.80831816,1,0,1,0,Laborers,1,1,63.75616438
F,Y,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,1,0,Laborers,2,1,63.90136986
M,N,N,1,130500,Working,Incomplete higher,Married,Rented apartment,7.499976541,1,1,1,0,Laborers,3,1,31.04383562
M,N,N,1,130500,Working,Incomplete higher,Married,Rented apartment,7.499976541,1,1,1,0,Laborers,3,1,31.04383562
F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,8.13739583,1,0,0,0,Core staff,2,1,39.7890411
F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,8.13739583,1,0,0,0,Core staff,2,1,39.7890411
F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,8.13739583,1,0,0,0,Core staff,2,1,39.7890411
F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,8.13739583,1,0,0,0,Core staff,2,1,39.7890411
F,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,8.13739583,1,0,0,0,Core staff,2,1,39.7890411
M,Y,Y,0,126000,Working,Higher education,Single / not married,House / apartment,6.760414691,1,1,0,0,Managers,1,1,39.78630137
M,Y,Y,0,126000,Working,Higher education,Single / not married,House / apartment,6.760414691,1,1,0,0,Managers,1,1,39.78630137
F,N,Y,4,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,8.910990495,1,0,0,0,Core staff,6,1,47.85753425
F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,62.06849315
F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,62.06849315
F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,62.06849315
F,N,Y,0,191399.3262,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,62.06849315
M,Y,Y,0,211500,Pensioner,Secondary / secondary special,Married,House / apartment,8.929700114,1,0,0,0,Core staff,2,1,41.22465753
F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,8.276649125,1,1,1,0,Laborers,3,1,35.67671233
F,N,N,0,81000,Pensioner,Secondary / secondary special,Separated,House / apartment,12.80831816,1,0,1,0,Laborers,1,1,61.03835616
F,N,N,0,81000,Pensioner,Secondary / secondary special,Widow,House / apartment,12.80831816,1,0,1,0,Laborers,1,1,65.48493151
F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,12.80831816,1,0,0,0,Laborers,2,1,58.52876712
F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,12.80831816,1,0,0,0,Laborers,2,1,58.52876712
F,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,12.80831816,1,0,0,0,Laborers,2,1,58.52876712
F,N,N,0,112500,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,12.80831816,1,0,0,0,Laborers,2,1,58.52876712
M,N,N,0,112500,Pensioner,Secondary / secondary special,Married,Municipal apartment,12.80831816,1,0,0,0,Laborers,2,1,58.52876712
F,N,Y,0,72000,Working,Secondary / secondary special,Married,House / apartment,6.946013991,1,0,1,0,Laborers,2,1,49.67671233
F,N,N,1,202500,Working,Secondary / secondary special,Separated,House / apartment,4.8978398,1,0,0,0,Laborers,2,1,38.1890411
F,N,Y,0,148500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,57.11232877
F,Y,Y,0,135000,Working,Lower secondary,Married,House / apartment,6.432940093,1,0,1,0,High skill tech staff,2,1,44.96712329
F,Y,Y,0,135000,Working,Lower secondary,Married,House / apartment,6.432940093,1,0,1,0,High skill tech staff,2,1,44.96712329
M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,7.374629015,1,0,0,0,Cooking staff,1,1,49.36986301
M,Y,N,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,7.39387829,1,0,1,0,Laborers,3,1,35.69863014
F,N,Y,2,135000,Commercial associate,Lower secondary,Civil marriage,With parents,7.532623619,1,1,0,0,Sales staff,4,1,27.01917808
F,N,N,0,162000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,58.20273973
M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,6.318968114,1,0,0,0,Security staff,2,1,55.07671233
M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,6.318968114,1,0,0,0,Security staff,2,1,55.07671233
M,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,6.318968114,1,0,0,0,Security staff,2,1,55.07671233
F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,7.567862605,1,0,0,0,Core staff,1,1,29.20547945
F,N,Y,0,135000,State servant,Higher education,Single / not married,Municipal apartment,7.567862605,1,0,0,0,Core staff,1,1,29.20547945
M,Y,Y,0,195750,Working,Secondary / secondary special,Married,House / apartment,6.836259277,1,1,1,0,Laborers,2,1,51.60547945
F,N,Y,1,585000,Commercial associate,Higher education,Single / not married,House / apartment,6.802394763,1,0,0,0,Managers,2,1,28.57534247
F,N,Y,1,585000,Commercial associate,Higher education,Single / not married,House / apartment,6.802394763,1,0,0,0,Managers,2,1,28.57534247
M,Y,Y,2,191399.3262,Commercial associate,Higher education,Married,House / apartment,8.367532417,1,1,1,0,Managers,4,1,48.87945205
M,Y,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,8.367532417,1,1,1,0,Managers,4,1,48.87945205
M,Y,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,8.367532417,1,1,1,0,Managers,4,1,48.87945205
M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,6.829793738,1,1,1,0,Drivers,3,1,44.39452055
M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,6.829793738,1,1,1,0,Drivers,3,1,44.39452055
F,N,N,0,67500,Commercial associate,Higher education,Separated,House / apartment,6.212606096,1,0,1,0,Core staff,1,1,51.92328767
F,N,Y,0,67500,Commercial associate,Higher education,Separated,House / apartment,6.212606096,1,0,1,0,Core staff,1,1,51.92328767
F,N,Y,0,67500,Commercial associate,Higher education,Separated,House / apartment,6.212606096,1,0,1,0,Core staff,1,1,51.92328767
M,N,N,1,216000,Working,Secondary / secondary special,Married,Municipal apartment,7.790696031,1,0,0,1,Laborers,3,1,35.46849315
F,N,Y,0,306000,Pensioner,Higher education,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,59.15068493
F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,1,60.30410959
M,Y,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,5.241747015,1,0,0,1,Managers,1,1,27.88219178
F,N,Y,1,108000,Working,Secondary / secondary special,Married,House / apartment,7.031741259,1,1,1,0,Sales staff,3,1,34.85753425
F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,7.478734826,1,0,0,0,Security staff,2,1,55.60547945
F,N,Y,0,135000,Working,Secondary / secondary special,Widow,House / apartment,6.823286122,1,0,1,0,Managers,1,1,39.43561644
M,Y,N,0,108000,Working,Secondary / secondary special,Married,Office apartment,6.985641818,1,0,0,0,Security staff,2,1,47.14794521
M,Y,N,0,108000,Working,Secondary / secondary special,Married,Office apartment,6.985641818,1,0,0,0,Security staff,2,1,47.14794521
M,Y,N,1,450000,Working,Higher education,Married,House / apartment,6.21860012,1,0,1,1,Core staff,3,1,26.97808219
M,Y,N,1,450000,Working,Higher education,Married,House / apartment,6.21860012,1,0,1,1,Core staff,3,1,26.97808219
F,Y,N,1,450000,Working,Higher education,Married,House / apartment,6.21860012,1,0,1,1,Core staff,3,1,26.97808219
M,Y,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,7.791522819,1,0,0,0,Managers,2,1,47.52876712
F,N,Y,0,157500,Commercial associate,Higher education,Married,House / apartment,7.189167738,1,0,1,1,Medicine staff,2,1,33.9369863
F,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,7.189167738,1,0,1,1,Medicine staff,2,1,33.9369863
F,N,Y,1,81000,Working,Secondary / secondary special,Married,Municipal apartment,8.75888368,1,1,1,0,Cleaning staff,3,0,43.14794521
M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,7.817625443,1,0,0,0,Laborers,2,0,48.6630137
F,N,Y,0,180000,Commercial associate,Higher education,Civil marriage,House / apartment,5.831882477,1,0,1,1,Sales staff,2,0,35.46849315
F,N,Y,0,135000,State servant,Secondary / secondary special,Married,House / apartment,9.150802659,1,0,1,0,Core staff,2,0,56.27945205
F,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,8.024207486,1,0,0,1,Private service staff,3,0,44.97260274
F,N,Y,1,63000,Commercial associate,Secondary / secondary special,Married,House / apartment,8.002024818,1,0,0,0,Sales staff,3,0,39.8630137
F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,7.66293785,1,0,0,0,Laborers,2,0,47.57534247
F,N,Y,0,112500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,12.80831816,1,0,0,0,Laborers,1,0,66.40547945
F,N,Y,0,112500,Working,Higher education,Married,House / apartment,6.70930434,1,1,0,0,Core staff,2,0,31.32054795
F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,1,0,Laborers,2,0,60.47123288
F,Y,Y,1,191399.3262,Working,Secondary / secondary special,Married,House / apartment,4.94875989,1,1,1,0,Cooking staff,3,0,38.96438356
F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,0,56.60547945
M,N,Y,1,180000,Working,Lower secondary,Married,House / apartment,7.43366654,1,1,0,0,Laborers,3,0,28.9890411
F,Y,N,1,450000,Working,Higher education,Married,House / apartment,8.452334619,1,0,1,0,Managers,3,0,41.21917808
M,Y,Y,0,256500,Commercial associate,Higher education,Married,House / apartment,7.422971251,1,0,0,1,Core staff,2,0,58.91232877
F,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,6.541029999,1,0,0,0,Laborers,1,0,40.4
F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,6.340359304,1,0,0,0,Laborers,1,0,40.42739726
F,N,N,0,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,6.785587645,1,0,0,0,Sales staff,1,0,29.4
F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,0,59.12054795
M,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,12.80831816,1,0,0,0,Laborers,2,0,45.18082192
F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,0,59.93150685
F,N,Y,1,337500,Working,Academic degree,Single / not married,House / apartment,7.926241523,1,0,0,0,Laborers,2,0,34.39726027
M,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,7.344072851,1,0,0,0,Core staff,2,0,33.29863014
M,Y,Y,0,131400,Pensioner,Secondary / secondary special,Married,House / apartment,12.80831816,1,0,0,0,Laborers,2,0,64.78356164
M,N,N,0,180000,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,8.064321961,1,0,0,0,Laborers,2,0,39.84109589
F,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,12.80831816,1,0,0,0,Laborers,1,0,67.15342466
F,N,Y,0,121500,Working,Secondary / secondary special,Married,With parents,8.55718284,1,1,1,0,Core staff,2,0,36.47945205
F,N,Y,1,117000,Working,Lower secondary,Widow,House / apartment,8.030084094,1,0,1,0,Laborers,2,0,48.30958904
F,N,Y,2,90000,Working,Secondary / secondary special,Married,House / apartment,5.768320996,1,0,0,0,Security staff,4,0,27.12054795
M,N,Y,0,445500,Commercial associate,Higher education,Separated,House / apartment,7.811568489,1,0,0,0,Laborers,1,0,52.87123288
M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,6.368187186,1,0,0,0,Laborers,2,0,43.94520548
M,Y,N,0,112500,Working,Secondary / secondary special,Married,House / apartment,6.726233402,1,0,0,0,Laborers,2,0,27.57808219
F,Y,N,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,6.989335266,1,0,1,0,Laborers,2,0,45.31780822
F,Y,N,2,157500,Commercial associate,Incomplete higher,Married,House / apartment,7.243512975,1,0,0,1,Laborers,4,0,35.22465753
F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,8.896998553,1,1,1,0,Medicine staff,2,0,46.81369863
M,N,Y,1,234000,Working,Secondary / secondary special,Married,House / apartment,7.466227556,1,0,0,0,Laborers,3,0,32.79452055
F,Y,Y,1,1575000,Commercial associate,Higher education,Single / not married,House / apartment,7.815610532,1,0,0,0,Managers,2,0,27.78630137
M,Y,Y,0,247500,State servant,Secondary / secondary special,Married,Municipal apartment,6.774223886,1,1,0,1,High skill tech staff,2,0,55.10136986
